sma_code,sma_name,central_cities,state,county_fips,county_name,is_central_county,partial_county,new_england_towns
7360,"San Francisco-Oakland, CA SMA",San Francisco|Oakland,CA,06075,San Francisco County,1,0,
7360,"San Francisco-Oakland, CA SMA",San Francisco|Oakland,CA,06081,San Mateo County,0,0,
7360,"San Francisco-Oakland, CA SMA",San Francisco|Oakland,CA,06095,Solano County,0,0,
7400,"San Jose, CA SMA",San Jose,CA,06085,Santa Clara County,1,0,
7440,"San Juan-Rio Piedras, PR SMA",San Juan|Rio Piedras,PR,72021,Bayamon Municipio,0,0,
7440,"San Juan-Rio Piedras, PR SMA",San Juan|Rio Piedras,PR,72033,Catano Municipio,0,0,
7440,"San Juan-Rio Piedras, PR SMA",San Juan|Rio Piedras,PR,72061,Guaynabo Municipio,0,0,
7440,"San Juan-Rio Piedras, PR SMA",San Juan|Rio Piedras,PR,72127,San Juan Municipio,1,0,
7520,"Savannah, GA SMA",Savannah,GA,13051,Chatham County,1,0,
7560,"Scranton, PA SMA",Scranton,PA,42069,Lackawanna County,1,0,
7600,"Seattle, WA SMA",Seattle,WA,53033,King County,1,0,
7680,"Shreveport, LA SMA",Shreveport,LA,22017,Caddo Parish,1,0,
7720,"Sioux City, IA SMA",Sioux City,IA,19193,"Woodbury County, IA",1,0,
7760,"Sioux Falls, SD SMA",Sioux Falls,SD,46099,Minnehaha County,1,0,
7800,"South Bend, IN SMA",South Bend,IN,18141,St.Joseph County,1,0,
7840,"Spokane, WA SMA",Spokane,WA,53063,Spokane County,1,0,
7880,"Springfield, IL SMA",Springfield,IL,17167,Sangamon County,1,0,
7920,"Springfield, MO SMA",Springfield,MO,29077,Greene County,1,0,
7960,"Springfield, OH SMA",Springfield,OH,39023,Clark County,1,0,
8000,"Springfield-Holyoke, MA-CT SMA",Springfield|Holyoke,CT,09003,"Hartford County, CT",0,1,Enfield town
8000,"Springfield-Holyoke, MA-CT SMA",Springfield|Holyoke,MA,25013,"Hampden County, MA",1,1,Agawam town|Chicopee city|East Longmeadow town|Holyoke city|Longmeadow town|Ludlow town|Springfield city|Westfield city|West Springfield town|Wilbraham town
8000,"Springfield-Holyoke, MA-CT SMA",Springfield|Holyoke,MA,25015,"Hampshire County, MA",0,1,Easthampton town|Northampton city|South Hadley town
8040,"Stamford-Norwalk, CT SMA",Stamford|Norwalk,CT,09001,Fairfield County,1,1,Darien town|Greenwich town|New Canaan town|Norwalk city|Stamford city|Westport town
8120,"Stockton, CA SMA",Stockton,CA,06077,San Joaquin County,1,0,
8160,"Syracuse, NY SMA",Syracuse,NY,36067,Onondaga County,1,0,
8200,"Tacoma, WA SMA",Tacoma,WA,53053,Pierce County,1,0,
8280,"Tampa-St. Petersburg, FL SMA",Tampa|St. Petersburg,FL,12057,Hillsborough County,1,0,
8280,"Tampa-St. Petersburg, FL SMA",Tampa|St. Petersburg,FL,12103,Pinellas County,1,0,
8320,"Terre Haute, IN SMA",Terre Haute,IN,18167,Vigo County,1,0,
8400,"Toledo, OH-MI SMA",Toledo,OH,39095,"Lucas County, OH",1,0,
8440,"Topeka, KS SMA",Topeka,KS,20177,Shawnee County,1,0,
8480,"Trenton, NJ SMA",Trenton,NJ,34021,Mercer County,1,0,
8560,"Tulsa, OK SMA",Tulsa,OK,40143,Tulsa County,1,0,
8680,"Utica-Rome, NY SMA",Utica|Rome,NY,36043,Herkimer County,0,0,
8680,"Utica-Rome, NY SMA",Utica|Rome,NY,36065,Oneida County,1,0,
8800,"Waco, TX SMA",Waco,TX,48309,McLennan County,1,0,
8840,"Washington, DC-MD-VA SMA",Washington,DC,11001,District of Columbia,1,0,
8840,"Washington, DC-MD-VA SMA",Washington,MD,24031,"Montgomery County, MD",0,0,
8840,"Washington, DC-MD-VA SMA",Washington,MD,24033,"Prince George's County, MD",0,0,
8840,"Washington, DC-MD-VA SMA",Washington,VA,51013,"Arlington County, VA",0,0,
8840,"Washington, DC-MD-VA SMA",Washington,VA,51059,"Fairfax County, VA",0,0,
8840,"Washington, DC-MD-VA SMA",Washington,VA,51510,"Alexandria city, VA",0,0,
8840,"Washington, DC-MD-VA SMA",Washington,VA,51610,"Falls Church city, VA",0,0,
