fips_5,age_0_4,age_5_17,pop_under18
21205,1369,3226,4595
21207,1099,2808,3907
21209,3380,9365,12745
21211,2869,7648,10517
21213,1202,3066,4268
21215,1079,3344,4423
21217,1567,3964,5531
21219,918,2470,3388
21221,769,2350,3119
21223,528,1623,2151
21225,877,2461,3338
21227,7293,18863,26156
21229,665,2068,2733
21231,1189,3418,4607
21233,917,2230,3147
21235,2273,6182,8455
21237,495,1287,1782
21239,1443,4405,5848
22001,4538,12175,16713
22003,1665,4234,5899
22005,8452,22807,31259
22007,1412,4094,5506
22009,2804,7241,10045
22011,2494,6793,9287
22013,816,2478,3294
22015,8885,21747,30632
22017,18383,44625,63008
22019,13645,35142,48787
22021,631,1710,2341
22023,388,1211,1599
22025,636,1653,2289
22027,860,2335,3195
22029,1386,3804,5190
22031,1758,4792,6550
22033,29308,73259,102567
22035,539,1400,1939
22037,1063,2966,4029
22039,2480,6525,9005
22041,1528,3775,5303
22043,1392,3717,5109
22045,5464,14326,19790
22047,2002,5305,7307
22049,1050,2672,3722
22051,28275,68708,96983
22053,2237,6021,8258
22055,15666,38798,54464
22057,6594,16805,23399
22059,969,2529,3498
22061,2813,6845,9658
22063,9463,25687,35150
22065,842,2116,2958
22067,1938,4798,6736
22069,2631,6925,9556
22071,23136,52547,75683
22073,11243,29060,40303
22075,1683,4749,6432
22077,1403,4036,5439
22079,9089,24668,33757
22081,633,1652,2285
22083,1429,3873,5302
22085,1614,4276,5890
22087,3231,7001,10232
22089,3460,10402,13862
22091,734,1908,2642
22093,1414,4027,5441
22095,3208,8696,11904
22097,6418,16145,22563
22099,3714,9962,13676
22101,3700,9841,13541
22103,14846,45234,60080
22105,8855,21701,30556
22107,322,923,1245
22109,8098,20742,28840
22111,1454,3756,5210
22113,4213,11220,15433
22115,4878,9674,14552
22117,3152,8603,11755
22119,2636,7054,9690
22121,1710,4271,5981
22123,771,2053,2824
22125,630,2013,2643
22127,890,2481,3371
23001,6749,17195,23944
23003,3476,10500,13976
23005,14405,43487,57892
23007,1449,4468,5917
23009,2503,7280,9783
23011,6189,18647,24836
23013,1854,5685,7539
23015,1541,4746,6287
23017,2831,9153,11984
23019,7755,22085,29840
23021,729,2510,3239
23023,1768,5369,7137
23025,2619,8280,10899
23027,2016,6045,8061
23029,1639,4739,6378
23031,10124,31274,41398
24001,3478,9787,13265
24003,35149,90899,126048
24005,49152,128324,177476
24009,4997,17802,22799
24011,2193,5915,8108
24013,8542,31376,39918
24015,6280,18684,24964
24017,9406,29306,38712
24019,1999,4998,6997
24021,14755,44134,58889
24023,1509,4948,6457
24025,14575,44848,59423
24027,17703,57224,74927
24029,936,2537,3473
24031,65253,171162,236415
24033,59223,145053,204276
24035,2694,8583,11277
