county_fips,county_name,state_name,cbsa_code,cbsa_title,central_or_outlying,in_modern_msa
18005,Bartholomew County,Indiana,18020,"Columbus, IN",Central,True
39041,Delaware County,Ohio,18140,"Columbus, OH",Central,True
39045,Fairfield County,Ohio,18140,"Columbus, OH",Central,True
39049,Franklin County,Ohio,18140,"Columbus, OH",Central,True
39073,Hocking County,Ohio,18140,"Columbus, OH",Outlying,True
39089,Licking County,Ohio,18140,"Columbus, OH",Outlying,True
39097,Madison County,Ohio,18140,"Columbus, OH",Outlying,True
39117,Morrow County,Ohio,18140,"Columbus, OH",Outlying,True
39127,Perry County,Ohio,18140,"Columbus, OH",Outlying,True
39129,Pickaway County,Ohio,18140,"Columbus, OH",Outlying,True
39159,Union County,Ohio,18140,"Columbus, OH",Outlying,True
48007,Aransas County,Texas,18580,"Corpus Christi, TX",Outlying,True
48355,Nueces County,Texas,18580,"Corpus Christi, TX",Central,True
48409,San Patricio County,Texas,18580,"Corpus Christi, TX",Central,True
41003,Benton County,Oregon,18700,"Corvallis, OR",Central,True
12091,Okaloosa County,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL",Central,True
12131,Walton County,Florida,18880,"Crestview-Fort Walton Beach-Destin, FL",Central,True
48085,Collin County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Central,True
48113,Dallas County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Central,True
48121,Denton County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Outlying,True
48139,Ellis County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Central,True
48231,Hunt County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Outlying,True
48257,Kaufman County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Outlying,True
48397,Rockwall County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Central,True
48251,Johnson County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Central,True
48367,Parker County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Outlying,True
48439,Tarrant County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Central,True
48497,Wise County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",Outlying,True
