county_fips,county_name,state_name,in_msa_1950,in_msa_1960,in_msa_1970,in_msa_1980,in_msa_1990,in_msa_2000,in_msa_2010,in_msa_2020,first_msa_decade
06113,Yolo,California,False,False,True,True,True,True,True,True,1970
06115,Yuba,California,False,False,False,True,True,True,True,True,1980
08001,Adams,Colorado,True,True,True,True,True,True,True,True,1950
08003,Alamosa,Colorado,False,False,False,False,False,False,False,False,0
08005,Arapahoe,Colorado,True,True,True,True,True,True,True,True,1950
08007,Archuleta,Colorado,False,False,False,False,False,False,False,False,0
08009,Baca,Colorado,False,False,False,False,False,False,False,False,0
08011,Bent,Colorado,False,False,False,False,False,False,False,False,0
08013,Boulder,Colorado,False,True,True,True,True,True,True,True,1960
08014,Broomfield County,Colorado,False,False,False,False,False,False,True,True,2010
08015,Chaffee,Colorado,False,False,False,False,False,False,False,False,0
08017,Cheyenne,Colorado,False,False,False,False,False,False,False,False,0
08019,Clear Creek,Colorado,False,False,False,False,False,False,True,True,2010
08021,Conejos,Colorado,False,False,False,False,False,False,False,False,0
08023,Costilla,Colorado,False,False,False,False,False,False,False,False,0
08025,Crowley,Colorado,False,False,False,False,False,False,False,False,0
08027,Custer,Colorado,False,False,False,False,False,False,False,False,0
08029,Delta,Colorado,False,False,False,False,False,False,False,False,0
08031,Denver,Colorado,True,True,True,True,True,True,True,True,1950
08033,Dolores,Colorado,False,False,False,False,False,False,False,False,0
08035,Douglas,Colorado,False,False,False,True,True,True,True,True,1980
08037,Eagle,Colorado,False,False,False,False,False,False,False,False,0
08039,Elbert,Colorado,False,False,False,False,False,False,True,True,2010
08041,El Paso,Colorado,False,True,True,True,True,True,True,True,1960
08043,Fremont,Colorado,False,False,False,False,False,False,False,False,0
08045,Garfield,Colorado,False,False,False,False,False,False,False,False,0
08047,Gilpin,Colorado,False,False,True,False,False,False,True,True,1970
08049,Grand,Colorado,False,False,False,False,False,False,False,False,0
08051,Gunnison,Colorado,False,False,False,False,False,False,False,False,0
08053,Hinsdale,Colorado,False,False,False,False,False,False,False,False,0
08055,Huerfano,Colorado,False,False,False,False,False,False,False,False,0
08057,Jackson,Colorado,False,False,False,False,False,False,False,False,0
