year,MET2013,n_unweighted,n_movers_unweighted,mover_rate,mover_avg_bedrooms,mover_avg_rooms,mover_median_burden,nonmover_median_burden,mover_avg_trantime,CBSA_Name,zori_name
2024,46220,206,69,35.71619415169957,3.091596708503034,4.330147119940155,31.772727272727273,25.820689655172412,19.724599284673467,"Tuscaloosa, AL","Tuscaloosa, AL"
2024,46340,262,62,21.810542398777695,3.078968317146951,4.185639229422066,29.17297297297297,30.9375,15.764214801444043,"Tyler, TX","Tyler, TX"
2024,46520,1195,267,22.964573570759136,2.9676123934833,3.868621241307258,38.094946401225116,28.57941176470588,22.96855397482678,"Urban Honolulu, HI","Urban Honolulu, HI"
2024,46540,294,46,15.697874389488891,2.9430324276950044,4.087423312883436,35.0,26.22680412371134,15.820730117340286,"Utica-Rome, NY","Utica, NY"
2024,46700,451,80,18.849758880662908,3.0690027925412124,4.110800828754166,38.1,37.0,25.75556366289675,"Vallejo-Fairfield, CA","Vallejo, CA"
2024,47260,1923,462,25.66510425739646,3.0728785200151534,4.416403586311403,33.79746835443038,32.28373702422145,24.3167011434157,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach, VA"
2024,47300,526,58,12.691341304773953,3.2059814658803707,4.50154450996911,38.53615520282187,30.0,26.644397463002115,"Visalia-Porterville, CA","Visalia, CA"
2024,47380,287,85,36.344212982485736,2.927134900990099,4.00363551980198,35.4,33.7979797979798,14.629420084865629,"Waco, TX","Waco, TX"
2024,47580,133,29,35.51414768806073,3.0619251198341755,3.99404067884441,35.4,32.66,22.118270453582028,"Warner Robins, GA","Warner Robins, GA"
2024,47900,6768,1698,24.81804879902706,2.753502995731322,3.9474407074902853,30.724373576309794,28.64516129032258,32.16426592797784,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington, DC"
2024,48300,113,20,16.584605284752996,2.809995051954478,3.6348342404750125,35.747368421052634,26.545454545454543,34.9702743902439,"Wenatchee, WA","Wenatchee, WA"
2024,48620,542,118,25.227768186801413,2.6771728271728272,3.851198801198801,29.333333333333332,25.357142857142854,16.230206095329038,"Wichita, KS","Wichita, KS"
2024,48660,213,52,23.42419080068143,2.839272727272727,4.036363636363636,25.70909090909091,29.5364238410596,11.89029168480627,"Wichita Falls, TX","Wichita Falls, TX"
2024,48900,306,99,36.482993197278915,2.931630306420536,3.732674498104295,47.108753315649864,31.868852459016395,18.586249449096517,"Wilmington, NC","Wilmington, NC"
2024,49180,532,130,25.747671806778893,2.9877965104881397,4.513183689472652,37.08,31.6,19.946007876834944,"Winston-Salem, NC","Winston, NC"
