MET2013,mover_rate_2022,mover_rate_2024,delta_mover_rate,mover_avg_bed_2022,mover_avg_bed_2024,delta_mover_avg_bed,mover_avg_rooms_2022,mover_avg_rooms_2024,delta_mover_avg_rooms,mover_burden_2022,mover_burden_2024,delta_mover_burden,nonmover_burden_2022,nonmover_burden_2024,delta_nonmover_burden,mover_trantime_2022,mover_trantime_2024,delta_mover_trantime,n_2022,n_2024,n_movers_2022,n_movers_2024,min_n,CBSA_Name,zori_name,RegionID,zori_pct_change_2022_2024,zori_2022,zori_2024
13820,24.475801029810725,24.67395653842699,0.19815550861626363,2.9680723864921634,3.1099821274905675,0.14190974099840403,4.380287607044757,4.543059508836963,0.16277190179220646,38.2,31.54189944134078,-6.658100558659221,31.401869158878505,29.37272727272727,-2.0291418861512334,23.42907171983689,21.121553830982293,-2.3075178888545977,864,848,196,199,848,"Birmingham-Hoover, AL","Birmingham, AL",394388,8.736467482717858,1236.149182149122,1344.1449534854628
30780,21.004353971220155,27.994087157571567,6.989733186351412,2.9704195456803504,3.036759976982703,0.06634043130235279,4.045567447951949,4.511119385302779,0.46555193735083034,32.31496062992126,30.20840950639854,-2.1065511235227206,26.16,28.26666666666667,2.106666666666669,20.34640522875817,17.86071463248859,-2.4856905962695777,630,608,136,157,608,"Little Rock-North Little Rock-Conway, AR","Little Rock, AR",394798,8.758710428510327,1072.8775247308788,1166.8477603746258
46140,29.101408940685335,24.03126346402413,-5.070145476661207,2.8755558743365373,2.916239459898591,0.04068358556205354,4.17008559269354,4.130319074432025,-0.03976651826151478,30.24827586206896,29.264957264957264,-0.9833185971116976,26.769230769230766,27.378947368421052,0.6097165991902855,19.88266794696606,23.417541820596902,3.5348738736308434,1173,1136,309,264,1136,"Tulsa, OK","Tulsa, OK",395169,8.829106832987303,1195.990636784709,1301.5859278189562
22180,30.523181469438455,29.3219679118087,-1.2012135576297567,3.259081931892992,3.225296995108316,-0.03378493678467587,4.522233526841822,4.525786163522013,0.0035526366801912346,33.04615384615385,34.72727272727273,1.681118881118877,31.319999999999997,33.14285714285714,1.822857142857142,18.732724452869206,23.427171306433113,4.694446853563907,631,598,173,167,598,"Fayetteville, NC","Fayetteville, NC",394589,8.976779411476327,1296.1614577154353,1412.515012591126
41500,15.433441875121922,11.990372043266373,-3.4430698318555493,3.115994166261546,2.5956629491945478,-0.5203312170669983,4.429654837141468,3.712267657992565,-0.7173871791489033,37.16129032258065,33.40588235294118,-3.755407969639471,28.915662650602407,34.248,5.332337349397591,22.144182389937107,25.001709986320108,2.857527596383001,623,619,99,88,619,"Salinas, CA","Salinas, CA",395050,9.157173236642716,2484.3043731678777,2711.796428344351
35620,13.57789490143086,12.777910563532721,-0.7999843378981382,2.5737899556812667,2.594514589233878,0.020724633552611227,3.5326968863410464,3.4988529782859965,-0.03384390805504989,31.428571428571427,31.45478374836173,0.026212319790303695,30.904109589041095,30.342205323193916,-0.5619042658471791,34.458964353079466,34.84289725494789,0.38393290186842677,24835,25135,3562,3306,24835,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",394913,9.410862816579941,2809.312107988641,3073.692616561022
10740,22.52517143658539,26.260525468182028,3.735354031596639,2.8416849156254025,2.949957947855341,0.10827303222993834,4.282279187599296,4.255116344266891,-0.027162843332405373,39.839999999999996,34.096916299559474,-5.743083700440522,33.506493506493506,27.586206896551722,-5.920286609941783,22.138918345705196,21.416192756659683,-0.7227255890455133,712,745,162,182,712,"Albuquerque, NM","Albuquerque, NM",394312,9.568392550484317,1355.0880529368349,1484.748197246546
10580,27.607915066917442,19.92082652311476,-7.687088543802684,2.8627329542255504,2.6239367707941286,-0.23879618343142184,4.183914194020607,3.621151674821227,-0.5627625191993801,31.862068965517242,32.78688524590164,0.9248162803843947,30.48,27.54098360655738,-2.9390163934426212,24.863626502364735,18.772645437155397,-6.090981065209338,1079,1061,262,197,1061,"Albany-Schenectady-Troy, NY","Albany, NY",394308,9.622094204730477,1365.3705782459826,1496.7478215284843
18140,25.881019793652932,28.40918228515003,2.528162491497099,2.871686739516019,2.821522785168412,-0.05016395434760712,4.110439948897957,4.074973110670818,-0.03546683822713881,31.363636363636367,32.211235955056175,0.847599591419808,27.64227642276423,29.267326732673265,1.6250503099090352,24.278787997800645,20.873480952536934,-3.4053070452637115,2382,2211,609,583,2211,"Columbus, OH","Columbus, OH",394492,9.624555520169578,1284.9830588656584,1408.656966790957
47260,26.217998693609218,25.66510425739646,-0.5528944362127568,2.9554601858102676,3.0728785200151534,0.11741833420488579,4.367409264795705,4.416403586311403,0.04899432151569805,34.52173913043478,33.79746835443038,-0.7242707760044027,31.486880466472307,32.28373702422145,0.7968565577491447,22.464147440396676,24.3167011434157,1.852553703019023,1817,1923,442,462,1817,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach, VA",395194,9.737606768360349,1521.7169479431325,1669.8957604613295
